"Reference ID","Author Key","Title","Authors","DOI","Trial ID","Date","Abstract Screening Decision","Full Text Screening Decision","Study Group","Notes","Animal Model","Authors and Publication Year","Anatomical connections","Verification of Zona Incerta Targeting","Photometry Data","Electrophysiology Data","Purpose of this circuit","Necessity vs. sufficiency or Both"
"AIM-50","zhang.nodateb","Rapid binge-like eating and body weight gain driven by zona incerta GABA neuron activation.","Zhang X, van den Pol AN","https://doi.org/10.1126/science.aam7100","","","ACCEPT","ACCEPT","","","Mouse (VGAT-Cre, vGlut2-GFP, and vGlut2-Cre lines)","Xiaobing Zhang; Anthony N. van den Pol; 2017","ZI (VGAT+) → PVT (vGlut2+) (anterograde AAV-ChIEF-tdTomato); PVT (vGlut2+) ← ZI (VGAT+) (monosynaptic rabies-EnvA-ΔG); PSTh (vGlut2+) → PVT (vGlut2+) (monosynaptic rabies-EnvA-ΔG; anterograde AAV-ChIEF-tdTomato)","Histological verification of ChIEF-tdTomato expression confined to rostral ZI GABA neurons; no expression in adjacent LH (fig. S1)","","","Mediation of rapid binge-like eating and body weight gain via ZI GABA→PVT inhibition of thalamic glutamatergic neurons","Both"
"AIM-41","potter.nodatea","Bidirectional modulation of accumbens dopamine by MCH neurons during learning and consummatory behavior.","Potter LE, Toth BA, Manna J, Lyons HC, Evans JR, Burgess CR","https://doi.org/10.1101/2025.06.05.658170","","","ACCEPT","ACCEPT","potter.nodate","","MCH-Cre (Strain#014099) mice, littermate controls, and Pmch∆Vglut2 mice (Pmch-iCre × Slc17a6tm1Lowl/J, JAX® #012898)","Liam E. Potter; Brandon A. Toth; Jayeeta Manna; Hannah C. Lyons; Jack R. Evans; Christian R. Burgess; 2025","LH/ZI MCH neurons projecting to ventral tegmental area (VTA) and to nucleus accumbens lateral core (lNAcc) and medial shell (mNAcSh)","Histological validation of viral expression (anti-GFP and TH immunolabeling) and confirmation of optic fiber placement using Paxinos & Franklin atlas coordinates","","","To bidirectionally modulate dopamine release in the nucleus accumbens medial shell by MCH neurons during food consumption and Pavlovian reward learning.","sufficiency"
"AIM-33","cai.nodate","Systematic Input-Output Mapping Reveals Structural Plasticity of VTA Dopamine Neurons-Zona Incerta Loop Underlying the Social Buffering Effects in Learned Helplessness.","Cai H, Zhang P, Qi G, Zhang L, Li T, Li M, Lv X, Lei J, Ming J, Tian B","https://doi.org/10.1007/s12035-021-02614-4","","","ACCEPT","ACCEPT","cai.nodate","","Adult male C57BL/6 mice (8-week-old)","Hongwei Cai; Pei Zhang; Guangjian Qi; Lijun Zhang; Tongxia Li; Ming Li; Xinyuan Lv; Jie Lei; Jie Ming; Bo Tian; 2022","Retrograde monosynaptic rabies tracing: Inputs to TH+ VTA dopamine neurons from central amygdala (CEA), nucleus accumbens (ACB), anterior amygdalar area (AAA), substantia innominata (SI), bed nuclei of stria terminalis (BST), lateral hypothalamic area (LHA), zona incerta (ZI), pontine central gray (PCG), periaqueductal gray (PAG), parabrachial nucleus (PB), substantia nigra reticulata (SNr). Helper viruses AAV9-TH-Cre + AAV9-DIO-TVA-His-EYFP + AAV9-DIO-RG injected (150 nl total volume) into VTA (AP +1.24 mm, ML ±0.6 mm, DV +4.6 mm), followed 33 days later by EnVA-RV-ΔG-dsRed (150 nl), survival 7 days, N = 4 (CON), 6 (LH), 4 (LH+SB); quantification: percent of dsRed+ cells normalized to starter cells.
Anterograde AAV tracing: Outputs from TH+ VTA dopamine neurons to caudoputamen (CP), nucleus accumbens (ACB), olfactory tubercle (OT), medial septum (MS), substantia innominata (SI), nucleus of reuniens (RE), retrosplenial area ventral (RSPv), lateral habenula (LHb), posterior hypothalamus (PH), parasubthalamic nucleus (PSTN), ZI, PCG, SNr, PAG, raphe magnus (RM), inferior olivary complex (IO). AAV9-TH-Cre + AAV9-DIO-ChR2-EYFP injected (150 nl total volume) into VTA (same coordinates), survival 21 days, N = 5 (CON), 4 (LH), 4 (LH+SB); quantification: axon pixel density normalized to total signal.","Histological verification via fluorescent imaging of 40 μm coronal sections at ZI levels (bregma −0.4 mm and −1.7 mm), comparison to Allen Mouse Brain Atlas landmarks","","","To reveal the structural plasticity of the VTA dopamine neuron–ZI loop that underlies social buffering in learned helplessness","Both"
"AIM-58","chen.nodateb","Chemogenetic and optogenetic stimulation of zona incerta GABAergic neurons ameliorates motor impairment in Parkinson's disease.","Chen F, Qian J, Cao Z, Li A, Cui J, Shi L, Xie J","https://doi.org/10.1016/j.isci.2023.107149","","","ACCEPT","ACCEPT","chen.nodateb","","C57BL/6J and Vgat-Cre male mice aged 6–8 weeks","Fenghua Chen; Junliang Qian; Zhongkai Cao; Ang Li; Juntao Cui; Limin Shi; Junxia Xie; 2023","","Histological verification via immunofluorescence staining of cannula location and virus expression in ZI GABAergic neurons","","","To determine whether and how ZI GABAergic neuron activity regulates motor behaviors in a Parkinson’s disease mouse model","Both"
"AIM-62","heikenfeld.nodate","Prefrontal - subthalamic pathway supports action selection in a spatial working memory task.","Heikenfeld C, Mederos S, Chen C, Korotkova T, Schnitzler A, Ponomarenko A","https://doi.org/10.1038/s41598-020-67185-1","","","ACCEPT","ACCEPT","heikenfeld.nodate","","Wild-type C57BL/6 mice (12–25 weeks old)","Carla Heikenfeld, Sara Mederos, Changwan Chen, Tatiana Korotkova, Alfons Schnitzler & Alexey Ponomarenko (2020)","Anterograde AAV-hSyn-eNPAC2.0-EYFP tracing: mPFC→ventromedial STN and mPFC→ZI (injection in mPFC at AP:1.5, ML:±0.2, DV:3.1–3.3 mm; 250 nl at 200 nl/min; N=3 mice).","Confocal fluorescence imaging of EYFP-labeled mPFC fibers confirming arborization in ZI (Fig. 1A).","","","Supports action selection during spatial working memory by theta-rhythmic coordination of gamma oscillations in the prefrontal-subthalamic pathway.","necessity"
"AIM-47","venkataraman.nodate","Modulation of fear generalization by the zona incerta.","Venkataraman A, Brody N, Reddi P, Guo J, Gordon Rainnie D, Dias BG","https://doi.org/10.1073/pnas.1820541116","","","ACCEPT","ACCEPT","venkataraman.nodate","","Adult female and male C57BL/6J (wild-type) and vGAT-Cre transgenic mice","Archana Venkataraman; Natalia Brody; Preethi Reddi; Jidong Guo; Donald Gordon Rainnie; Brian George Dias (2019)","","Post-mortem histological verification of viral injection sites via fluorescent reporter (mCherry) and Hoechst nuclear staining under fluorescence microscopy","","","To test whether the zona incerta modulates fear generalization and to evaluate its potential as a therapeutic target to reduce maladaptive fear generalization.","both"
"AIM-6","blanco-centurion.nodate","Activity of GABA neurons in the zona incerta and ventral lateral periaqueductal grey is biased towards sleep.","Blanco-Centurion C, Vidal-Ortiz A, Sato T, Shiromani PJ","https://doi.org/10.1093/sleep/zsac306","","","ACCEPT","ACCEPT","blanco-centurion.nodate","","vGAT‐ires‐Cre mice (Jackson Laboratories, JAX stock #016962), adult (6.2 ± 0.3 mo) mice","Carlos Blanco‐Centurion; Aurelio Vidal‐Ortiz; Takashi Sato; Priyattam J. Shiromani; 2023","vGAT+ ZI → vlPAG projection (anterograde): rAAV5-hSyn-Flex-ChrimsonR-tdT expressed in ZI GABA neurons; ZI injection coordinates AP −1.6 mm, ML 0.8 mm, DV −4.5 mm; vlPAG injection coordinates AP −4.3 mm, ML 0.9 mm, DV −2.2 mm","Histological confirmation of GRIN lens placement and GCaMP6M+ cell bodies within anatomical ZI boundaries, as shown in Figure 1","ZI vGAT neurons (rAAV-DJ-EF1α-DIO-GCaMP6M; Inscopix miniscope, GRIN lens): n=11 mice, 682 neurons; classified by state with abundances: R-Max 51.03%, W-Max 23.9%, NR-Max 11.7%, W/R-Max 6.5%, No Change 6.9%. vlPAG vGAT neurons: n=5 mice, 169 neurons; classified: R-Max 60.95%, W-Max 25.44%, R-OFF 8.28%, W/R-Max 2.96%, No Change 2.37%; states aligned to Active Wake, Quiet Wake, NREM, REM transition, REM sleep","","To characterize the in vivo activity patterns of GABAergic neurons in the ZI and vlPAG across sleep–wake states to determine their bias toward sleep and identify sleep‐promoting roles.","Correlation only"
"AIM-26","chen.nodate","The zona incerta negatively regulates the red nucleus during movement cued by sound signals.","Chen L, Wang X, Liu H, He C, Chen APF, Chen L, Kim TA, Xiong Q","https://doi.org/10.1371/journal.pbio.3003092","","","ACCEPT","ACCEPT","chen.nodate","","Mus musculus: C57BL/6J wild-type; PV-Cre, SOM-Cre, Lhx6-Cre, GAD-Cre, VGlut2-Cre transgenic mouse lines","Liang Chen, Xinxing Wang, Hanxiao Liu, Chenzhao He, Allen P. F. Chen, Lu Chen, Thomas A. Kim, Qiaojie Xiong; 2025","1) Monosynaptic retrograde rabies tracing from RN excitatory neurons in VGlut2-Cre mice (AAV-FLEX-TVA-oG + EnvA-G-deleted Rabies-mCherry) revealed direct inputs from motor cortex (M1, M2), cingulate cortex (Cg1), somatosensory cortex (S1), subthalamic nucleus (STN), substantia nigra pars reticulata (SNr), and ventral medial ZI (vZIm) to ipsilateral RN. 2) Cre-dependent anterograde AAV-DIO-GFP tracing in PV-Cre mice injected into ZI (2.0 mm caudal, 1.6 mm lateral, 4.0 mm depth) demonstrated PV+ ZI neurons project densely to ipsilateral RN (3.6 mm caudal, 0.6 mm lateral, 3.5 mm depth).","Histological confirmation via immunostaining of GFP-expressing neurons and interneuron marker staining (PV, Lhx6, SST) in medial ZI, and post hoc DiI labeling of tetrode and fiber tracks in ventral medial ZI (vZIm).","","","To provide an inhibitory ZI-RN pathway that shapes auditory-cued goal-directed movement by modulating contralateral movement choices.","Both"
"AIM-23","yang.nodate","Divergent BLA engram circuits orchestrate social preference dynamics in bystander male mice with self-experienced stress.","Yang XK, Shi YL, Li M, Li TX, Yang J, Lei J, Cui C, Peng X, Zha HC, Luo GG, Yao YB, Chen ST, Du JS, Wang HJ, Xu SQ, Zhang P, Tian B","https://doi.org/10.1073/pnas.2516904123","","","ACCEPT","ACCEPT","yang.nodate","","C57BL/6J male mice (experimental); CD1 outbred male mice (aggressors)","Xue-Ke Yang, Yu-Long Shi, Ming Li, Tong-Xia Li, Jian Yang, Jie Lei, Chi Cui, Xiang Peng, Hong-Chu Zha, Gan-Gan Luo, Yi-Bo Yao, Si-Tong Chen, Jun-Song Du, Hui-Juan Wang, Shi-Qi Xu, Pei Zhang, and Bo Tian; 2026","BLA engram cells → ACC (anterograde; AAV2/9-c-fos-tTA + TRE-EYFP)  |  ACCGlu neurons ← BLAEC (monosynaptic retrograde; RV-EnvA-ΔG-DsRed)  |  ACCGlu neurons → dorsal hippocampus (anterograde; AAV1-CaMKII-Cre + DIO-mCherry)  |  ACCGlu neurons → ventral hippocampus (same)  |  ACCGlu neurons → zona incerta (same)","Histological verification via fluorescence imaging of mCherry-labeled ACC terminals and fiber placement in ZI; no subregional specification","Population: SSDS-labeled BLA engram cells expressing GCaMP (AAV2/9-DIO-GCaMP); recorded via fiber photometry. Behavioral epochs: entry into novelty vs. cagemate chamber during SPT; entry into interaction zone during SAT. SSDS+VSDS mice show increased Ca²⁺ signal (peak ΔF/F, AUC, total z-score) in cagemate chamber and interaction zone relative to SSDS+CON controls; N = 8 mice per group.","In vivo extracellular single-unit recordings in ACC during optogenetic activation (473 nm) and inhibition (590 nm) of BLAEC-ACC projections; measured firing rate changes but no whole-cell parameters (Cm, Rin) reported.","To orchestrate social preference dynamics—promoting interaction with defeat-experienced cagemates and avoidance of aggressors—via divergent BLA engram cell circuits.","Both"
"AIM-5","li.nodate","Parvalbumin Neurons in Zona Incerta Regulate Itch in Mice.","Li J, Bai Y, Liang Y, Zhang Y, Zhao Q, Ge J, Li D, Zhu Y, Cai G, Tao H, Wu S, Huang J","https://doi.org/10.3389/fnmol.2022.843754","","","ACCEPT","ACCEPT","li.nodate","","Adult male C57BL/6J mice and PV-IRES-Cre (PV-Cre) mice on a C57BL/6J background","Li J; Bai Y; Liang Y; Zhang Y; Zhao Q; Ge J; Li D; Zhu Y; Cai G; Tao H; Wu S; Huang J (2022)","","Histological verification of viral expression and fiber placement in ZI via immunofluorescent staining of viral reporter and PV, confirmed with atlas-guided confocal imaging","Three recordings of ZI PV neuron bulk calcium signals via fiber photometry of GCaMP6s in PV-Cre mice: 1) Histamine-induced acute itch: ΔF/F increase onset 0.10±2.45 s to duration 5.13±1.57 s post-scratching (n=6 GCaMP, n=5 EYFP; repeated-measures ANOVA AUC F(1,9)=27.892, P=0.001; permutation test P<0.05). 2) Chloroquine-induced acute itch: onset 0.16±0.28 s to duration 4.08±0.71 s (n=6, n=5; F(1,9)=36.586, P<0.001). 3) Chronic AD itch: onset 0.78±0.18 s to duration 7.36±1.42 s (n=6, n=4; F(1,8)=14.355, P<0.01). Controls expressed EYFP; recording system ThinkerTech fiber photometry.","","ZI PV neurons function as an endogenous negative modulator of itch processing, suppressing scratching behavior.","sufficiency"
